"X","Y","DateTime","EpochTime"
"687.59","1120.0066","2017-10-08 18:18:01.012","1507501081012"
"680.8444","1117.8914","2017-10-08 18:18:01.046","1507501081046"
"692.4408","1102.934","2017-10-08 18:18:01.079","1507501081079"
"693.2346","1101.1818","2017-10-08 18:18:01.112","1507501081112"
"695.2142","1100.2855","2017-10-08 18:18:01.145","1507501081145"
"738.6642","1088.1274","2017-10-08 18:18:01.179","1507501081179"
"799.6207","1111.6581","2017-10-08 18:18:01.212","1507501081212"
"796.3309","1104.6041","2017-10-08 18:18:01.246","1507501081246"
"797.221","1101.5641","2017-10-08 18:18:01.279","1507501081279"
"798.9443","1099.9426","2017-10-08 18:18:01.312","1507501081312"
"800.9824","1098.5638","2017-10-08 18:18:01.345","1507501081345"
"803.1844","1097.5182","2017-10-08 18:18:01.379","1507501081379"
"805.4938","1096.7781","2017-10-08 18:18:01.412","1507501081412"
"808.5571","1095.63","2017-10-08 18:18:01.445","1507501081445"
"809.6018","1094.4839","2017-10-08 18:18:01.479","1507501081479"
"810.1495","1093.2643","2017-10-08 18:18:01.512","1507501081512"
"810.8568","1091.9746","2017-10-08 18:18:01.545","1507501081545"
"811.9471","1090.6138","2017-10-08 18:18:01.579","1507501081579"
"812.9064","1089.2668","2017-10-08 18:18:01.612","1507501081612"
"813.362","1087.8895","2017-10-08 18:18:01.646","1507501081646"
"813.9563","1086.5686","2017-10-08 18:18:01.679","1507501081679"
"814.7638","1085.3562","2017-10-08 18:18:01.712","1507501081712"
"815.2022","1084.1709","2017-10-08 18:18:01.745","1507501081745"
"817.2502","1083.0979","2017-10-08 18:18:01.778","1507501081778"
"819.3387","1082.0889","2017-10-08 18:18:01.812","1507501081812"
"821.5691","1081.0972","2017-10-08 18:18:01.845","1507501081845"
"822.9176","1080.0116","2017-10-08 18:18:01.878","1507501081878"
"825.5166","1079.1101","2017-10-08 18:18:01.912","1507501081912"
"828.2991","1078.2687","2017-10-08 18:18:01.945","1507501081945"
"830.3622","1076.8114","2017-10-08 18:18:01.978","1507501081978"
"832.5303","1075.5398","2017-10-08 18:18:02.011","1507501082011"
"829.7382","1073.4219","2017-10-08 18:18:02.045","1507501082045"
"824.3585","1071.7429","2017-10-08 18:18:02.078","1507501082078"
"816.1984","1070.1777","2017-10-08 18:18:02.111","1507501082111"
"807.6926","1068.6508","2017-10-08 18:18:02.145","1507501082145"
"798.9932","1067.3564","2017-10-08 18:18:02.178","1507501082178"
"789.0944","1065.4977","2017-10-08 18:18:02.211","1507501082211"
"628.0563","1066.8937","2017-10-08 18:18:02.245","1507501082245"
"613.9695","1067.7555","2017-10-08 18:18:02.278","1507501082278"
