"X","Y","DateTime","EpochTime"
"1067.7776","437.6664","2017-10-08 18:42:45.338","1507502565338"
"1068.319","437.4924","2017-10-08 18:42:45.372","1507502565372"
"1068.7751","437.0382","2017-10-08 18:42:45.405","1507502565405"
"1065.0945","436.5019","2017-10-08 18:42:45.438","1507502565438"
"1068.1747","434.1565","2017-10-08 18:42:45.471","1507502565471"
"1067.9143","433.7317","2017-10-08 18:42:45.504","1507502565504"
"1046.3297","700.218","2017-10-08 18:42:45.538","1507502565538"
"1041.8706","685.8666","2017-10-08 18:42:45.571","1507502565571"
"1044.8103","686.7938","2017-10-08 18:42:45.604","1507502565604"
"1043.9542","687.0977","2017-10-08 18:42:45.638","1507502565638"
"1043.2505","687.7791","2017-10-08 18:42:45.671","1507502565671"
"1042.0237","688.2419","2017-10-08 18:42:45.704","1507502565704"
"1020.7264","686.0695","2017-10-08 18:42:45.738","1507502565738"
"1019.7773","691.6516","2017-10-08 18:42:45.771","1507502565771"
"1021.7669","690.121","2017-10-08 18:42:45.804","1507502565804"
"996.4463","692.8975","2017-10-08 18:42:45.838","1507502565838"
"964.636","692.1327","2017-10-08 18:42:45.871","1507502565871"
"914.9601","682.9945","2017-10-08 18:42:45.904","1507502565904"
"557.7222","633.1509","2017-10-08 18:42:45.937","1507502565937"
"554.429","629.1831","2017-10-08 18:42:45.971","1507502565971"
"557.0629","635.9133","2017-10-08 18:42:46.004","1507502566004"
"555.7626","637.5014","2017-10-08 18:42:46.037","1507502566037"
"555.0387","638.4","2017-10-08 18:42:46.071","1507502566071"
"556.3472","641.2599","2017-10-08 18:42:46.104","1507502566104"
"1069.1305","745.8798","2017-10-08 18:42:46.137","1507502566137"
"1068.4974","720.8417","2017-10-08 18:42:46.171","1507502566171"
"1067.2252","724.3063","2017-10-08 18:42:46.204","1507502566204"
"1065.1149","725.4284","2017-10-08 18:42:46.237","1507502566237"
"1064.3446","727.5131","2017-10-08 18:42:46.270","1507502566270"
"1062.7909","729.9254","2017-10-08 18:42:46.304","1507502566304"
"985.1437","774.1109","2017-10-08 18:42:46.337","1507502566337"
"990.8572","758.4227","2017-10-08 18:42:46.370","1507502566370"
"990.7664","754.4141","2017-10-08 18:42:46.404","1507502566404"
"990.6234","752.2334","2017-10-08 18:42:46.437","1507502566437"
"990.742","751.3018","2017-10-08 18:42:46.470","1507502566470"
"991.5534","749.4017","2017-10-08 18:42:46.504","1507502566504"
"992.0679","748.7686","2017-10-08 18:42:46.537","1507502566537"
"992.4617","748.5972","2017-10-08 18:42:46.570","1507502566570"
"992.89","748.055","2017-10-08 18:42:46.604","1507502566604"
"993.3292","747.4185","2017-10-08 18:42:46.637","1507502566637"
